user_id,work_id,title,body,visibility,created_at,updated_at
507,14848102501479092093,Mixed feelings,Well-paced and engaging.,public,2024-07-28 17:06:21,2024-08-03 00:06:21
369,16524206918909851657,Couldn’t put it down,I learned a lot from this book.,public,2023-07-20 21:05:07,2023-07-30 09:26:56
155,8373544987364854987,Great characters,Exceeded expectations.,public,2024-09-23 11:15:06,2024-09-27 13:08:46
6,2246557139152382592,Mixed feelings,Fantastic world-building and tension.,private,2023-10-20 05:50:49,2023-10-31 08:31:18
56,3907163969331656407,Overhyped,I learned a lot from this book.,public,2025-06-01 21:24:23,2025-06-16 18:37:12
722,984413354647151456,Great characters,Ending surprised me—in a good way.,public,2024-02-26 07:21:20,2024-03-26 10:45:31
198,12554930072239375402,Great characters,Characters felt real and memorable.,public,2025-10-14 09:21:10,2025-10-30 18:38:01
739,11482456897206434066,"Slow start, strong finish",Characters felt real and memorable.,public,2024-07-18 19:43:23,2024-08-14 08:01:27
7,6707707917271569769,Mixed feelings,Dialogue shines throughout.,public,2025-05-29 13:13:08,2025-06-25 14:01:39
1248,6549399788025462269,Great characters,Well-paced and engaging.,public,2023-11-03 06:02:33,2023-11-05 05:06:36
191,8549943472376206920,"Slow start, strong finish",Plot dragged in the middle.,public,2025-08-25 03:30:37,2025-08-28 06:59:55
125,1034618773682020971,"Slow start, strong finish",Ending surprised me—in a good way.,public,2023-01-21 22:06:32,2023-01-30 20:18:23
765,2817158273251253657,Not my favorite,Plot dragged in the middle.,private,2025-09-07 08:25:24,2025-10-05 17:05:28
1070,15733807114476718701,Solid read,Dialogue shines throughout.,public,2023-08-23 22:54:24,2023-09-02 09:47:06
17,1042306241300372130,Loved it,Characters felt real and memorable.,public,2025-07-18 10:24:07,2025-08-02 21:12:58
809,8550567502662060099,Not my favorite,Well-paced and engaging.,private,2025-07-29 22:14:59,2025-08-11 07:25:31
1128,16419590610579146044,Overhyped,Characters felt real and memorable.,private,2025-07-26 17:23:44,2025-08-02 02:24:16
2,10331942422843587094,Loved it,Would recommend to friends.,public,2025-10-11 16:09:49,2025-10-11 23:50:55
